id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence
scatter-nutrients-matrix,scatter,Scatter Nutrients Matrix,营养分布散点矩阵,scatter-nutrients-matrix.png,public/examples/ts/scatter-nutrients-matrix.ts,scatter,series.data+external file/api,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
bar-breaks-brush,bar,Bar Chart with Axis Breaks (Brush-enabled),断轴上的柱状图（可刷选）,bar-breaks-brush.png,public/examples/ts/bar-breaks-brush.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
gauge-car,gauge,Gauge Car,汽车仪表盘,gauge-car.png,public/examples/ts/gauge-car.ts,gauge,series.data,,,2,2,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph-webkit-dep,graph,Graph Webkit Dep,WebKit 模块关系依赖图,graph-webkit-dep.png,public/examples/ts/graph-webkit-dep.ts,graph,series.data+external file/api,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
line-easing,line,Line Easing Visualizing,缓动函数可视化,line-easing.png,public/examples/ts/line-easing.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-fisheye-lens,line,Fisheye Lens on Line Chart,折线图鱼眼放大,line-fisheye-lens.png,public/examples/ts/line-fisheye-lens.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-y-category,line,Line Y Category,垂直折线图（Y轴为类目轴）,line-y-category.png,public/examples/ts/line-y-category.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
scatter-polar-punchCard,scatter,Punch Card of Github,GitHub 打卡气泡图（极坐标）,scatter-polar-punchCard.png,public/examples/ts/scatter-polar-punchCard.ts,scatter,series.data,,,3,3,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
custom-gauge,custom,Custom Gauge,自定义仪表,custom-gauge.png,public/examples/ts/custom-gauge.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
graph-npm,graph,NPM Dependencies,NPM 依赖关系图,graph-npm.png,public/examples/ts/graph-npm.ts,graph,dataset.source+series.data+external file/api,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
line-graphic,line;graphic,Custom Graphic Component,自定义图形组件,line-graphic.png,public/examples/ts/line-graphic.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-pen,line,Click to Add Points,点击添加折线图拐点,line-pen.png,public/examples/ts/line-pen.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
scatter-life-expectancy-timeline,scatter,Life Expectancy and GDP,各国人均寿命与GDP关系演变,scatter-life-expectancy-timeline.png,public/examples/ts/scatter-life-expectancy-timeline.ts,,unknown/static option,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
scatter-painter-choice,scatter,Master Painter Color Choices Throughout History,历代绘画大师的色彩运用,scatter-painter-choice.png,public/examples/ts/scatter-painter-choice.ts,scatter,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
boxplot-light-velocity,boxplot,Boxplot Light Velocity,基础盒须图,boxplot-light-velocity.png,public/examples/ts/boxplot-light-velocity.ts,boxplot;scatter,dataset+dataset.source,,5,20,20,,"boxplot 五数概括: min, Q1, median, Q3, max（5 个数值字段）；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
boxplot-light-velocity2,boxplot,Boxplot Light Velocity2,垂直方向盒须图,boxplot-light-velocity2.png,public/examples/ts/boxplot-light-velocity2.ts,boxplot;scatter,dataset+dataset.source,,5,20,20,,"boxplot 五数概括: min, Q1, median, Q3, max（5 个数值字段）；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
boxplot-multi,boxplot,Multiple Categories,多系列盒须图,boxplot-multi.png,public/examples/ts/boxplot-multi.ts,boxplot,dataset+dataset.source,,,6+（类目 + min/Q1/median/Q3/max）,,,"boxplot 五数概括: min, Q1, median, Q3, max（5 个数值字段）",medium（基于官方示例源码静态解析 + 分类规则）
calendar-effectscatter,,,,calendar-effectscatter.png,public/examples/ts/calendar-effectscatter.ts,effectScatter;scatter,series.data,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
candlestick-brush,candlestick,Candlestick Brush,K 线图刷选,candlestick-brush.png,public/examples/ts/candlestick-brush.ts,bar;candlestick;line,series.data+external file/api,,,2,2,2,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
candlestick-sh-2015,candlestick,"ShangHai Index, 2015",2015 年上证指数,candlestick-sh-2015.png,public/examples/ts/candlestick-sh-2015.ts,candlestick;line,series.data,,,10,10,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
chord-style,chord,Chord Style,和弦图样式,chord-style.png,public/examples/ts/chord-style.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
effectScatter-bmap,scatter;map,Air Quality - Baidu Map,全国主要城市空气质量 - 百度地图,effectScatter-bmap.png,public/examples/ts/effectScatter-bmap.ts,effectScatter;scatter,series.data,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
funnel,funnel,Funnel Chart,漏斗图,funnel.png,public/examples/ts/funnel.ts,funnel,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
funnel-align,funnel,Funnel Compare,漏斗图(对比),funnel-align.png,public/examples/ts/funnel-align.ts,funnel,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
funnel-customize,funnel,Customized Funnel,漏斗图,funnel-customize.png,public/examples/ts/funnel-customize.ts,funnel,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
funnel-mutiple,funnel,Multiple Funnels,多漏斗图,funnel-mutiple.png,public/examples/ts/funnel-mutiple.ts,funnel,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
geo-beef-cuts,map,GEO Beef Cuts,庖丁解牛,geo-beef-cuts.png,public/examples/ts/geo-beef-cuts.ts,map,series.data+external file/api+map/geoJSON,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
geo-organ,map,Organ Data with SVG,内脏数据（SVG）,geo-organ.png,public/examples/ts/geo-organ.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
geo-seatmap-flight,map,Flight Seatmap with SVG,航班选座（SVG）,geo-seatmap-flight.png,public/examples/ts/geo-seatmap-flight.ts,,external file/api+map/geoJSON,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
geo-svg-custom-effect,custom,GEO SVG with Customized Effect,自定义特效,geo-svg-custom-effect.png,public/examples/ts/geo-svg-custom-effect.ts,custom,series.data+external file/api+map/geoJSON,,,3,3,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
geo-svg-lines,map,GEO SVG Lines,GEO 路径图（SVG）,geo-svg-lines.png,public/examples/ts/geo-svg-lines.ts,lines,series.data+external file/api+map/geoJSON,,,2,2,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
geo-svg-map,map,GEO SVG Map,地图（SVG）,geo-svg-map.png,public/examples/ts/geo-svg-map.ts,scatter,series.data+external file/api+map/geoJSON,,,3,3,,"地图区域名 + 数值: name, value；另需 map/geoJSON；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
geo-svg-scatter-simple,map,GEO SVG Scatter,散点图（SVG）,geo-svg-scatter-simple.png,public/examples/ts/geo-svg-scatter-simple.ts,effectScatter,series.data+external file/api+map/geoJSON,,,3,3,,"地图区域名 + 数值: name, value；另需 map/geoJSON；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
geo-svg-traffic,map,GEO SVG Traffic,交通（SVG）,geo-svg-traffic.png,public/examples/ts/geo-svg-traffic.ts,lines,series.data+external file/api+map/geoJSON,,,2,2,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
graphic-wave-animation,graphic,Wave Animation,波浪动画,graphic-wave-animation.png,public/examples/ts/graphic-wave-animation.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
line-polar,line,Two Value-Axes in Polar,极坐标双数值轴,line-polar.png,public/examples/ts/line-polar.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-polar2,line,Two Value-Axes in Polar,极坐标双数值轴,line-polar2.png,public/examples/ts/line-polar2.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-tooltip-touch,line;dataZoom,Tooltip and DataZoom on Mobile,移动端上的 dataZoom 和 tooltip,line-tooltip-touch.png,public/examples/ts/line-tooltip-touch.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
lines-airline,map;lines,65k+ Airline,65k+ 飞机航线,lines-airline.png,public/examples/ts/lines-airline.ts,lines,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
lines-ny,map;lines,Use lines to draw 1 million New York streets,使用线图绘制近100万纽约街道数据,lines-ny.png,public/examples/ts/lines-ny.ts,lines,series.data+external file/api,1,,1,,,"地图区域名 + 数值: name, value；另需 map/geoJSON；线段坐标: coords [[lng,lat],[lng,lat]] 或 from/to",medium（基于官方示例源码静态解析 + 分类规则）
map-bar-morph,map;animation,Morphing between Map and Bar,地图柱状图变形动画,map-bar-morph.png,public/examples/ts/map-bar-morph.ts,bar;map,series.data+external file/api+map/geoJSON,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
map-HK,map,Population Density of HongKong (2011),香港18区人口密度 （2011）,map-HK.png,public/examples/ts/map-HK.ts,map,series.data+external file/api+map/geoJSON,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
map-usa,map,USA Population Estimates (2012),2012 年美国人口统计,map-usa.png,public/examples/ts/map-usa.ts,map,series.data+external file/api+map/geoJSON,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
map-usa-projection,map,USA Choropleth Map with Projection,自定义地图投影,map-usa-projection.png,public/examples/ts/map-usa-projection.ts,map,series.data+external file/api+map/geoJSON,,,2,,2,"地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
matrix-periodic-table,matrix,Periodic Table,元素周期表,matrix-periodic-table.png,public/examples/ts/matrix-periodic-table.ts,custom,series.data,,,5,5,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-body-fill,pictorialBar,Water Content,人体含水量,pictorialBar-body-fill.png,public/examples/ts/pictorialBar-body-fill.ts,pictorialBar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-dotted,pictorialBar,Dotted bar,虚线柱状图效果,pictorialBar-dotted.png,public/examples/ts/pictorialBar-dotted.ts,bar;line;pictorialBar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-forest,pictorialBar,Expansion of forest,森林的增长,pictorialBar-forest.png,public/examples/ts/pictorialBar-forest.ts,pictorialBar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-hill,pictorialBar,Wish List and Mountain Height,圣诞愿望清单和山峰高度,pictorialBar-hill.png,public/examples/ts/pictorialBar-hill.ts,pictorialBar,series.data,,,6,,6,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-spirit,pictorialBar,Spirits,精灵,pictorialBar-spirit.png,public/examples/ts/pictorialBar-spirit.ts,pictorialBar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-vehicle,pictorialBar,Vehicles,交通工具,pictorialBar-vehicle.png,public/examples/ts/pictorialBar-vehicle.ts,pictorialBar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-velocity,pictorialBar,Velocity of Christmas Reindeers,驯鹿的速度,pictorialBar-velocity.png,public/examples/ts/pictorialBar-velocity.ts,pictorialBar,series.data,,,3,,3,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pie-parliament-transition,custom;animtion,Transition of Parliament and Pie Chart,自定义议会图与饼图过渡动画,pie-parliament-transition.png,public/examples/ts/pie-parliament-transition.ts,custom;pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）
radar-multiple,radar,Multiple Radar,多雷达图,radar-multiple.png,public/examples/ts/radar-multiple.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）
scatter-matrix,parallel;scatter,Scatter Matrix,散点矩阵和平行坐标,scatter-matrix.png,public/examples/ts/scatter-matrix.ts,parallel;scatter,series.data,,,8,8,,"点坐标: x, y（可附加 value/size 等）；平行坐标多维数组；字段数等于 parallelAxis 维度数",medium（基于官方示例源码静态解析 + 分类规则）
scatter-world-population,scatter,World Population (2011),World Population (2011),scatter-world-population.png,public/examples/ts/scatter-world-population.ts,,unknown/static option,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
themeRiver-basic,themeRiver,ThemeRiver,主题河流图,themeRiver-basic.png,public/examples/ts/themeRiver-basic.ts,line;themeRiver,series.data,,,3,3,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
themeRiver-lastfm,themeRiver,ThemeRiver Lastfm,Lastfm 主题河流图,themeRiver-lastfm.png,public/examples/ts/themeRiver-lastfm.ts,themeRiver,series.data,,,20,20,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
tree-basic,tree,From Left to Right Tree,从左到右树状图,tree-basic.png,public/examples/ts/tree-basic.ts,tree,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-legend,tree,Multiple Trees,多棵树,tree-legend.png,public/examples/ts/tree-legend.ts,tree,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-orient-bottom-top,tree,From Bottom to Top Tree,从下到上树状图,tree-orient-bottom-top.png,public/examples/ts/tree-orient-bottom-top.ts,tree,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-orient-right-left,tree,From Right to Left Tree,从右到左树状图,tree-orient-right-left.png,public/examples/ts/tree-orient-right-left.ts,tree,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-polyline,tree,Tree with Polyline Edge,折线树图,tree-polyline.png,public/examples/ts/tree-polyline.ts,tree,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-radial,tree,Radial Tree,径向树状图,tree-radial.png,public/examples/ts/tree-radial.ts,tree,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
tree-vertical,tree,From Top to Bottom Tree,从上到下树状图,tree-vertical.png,public/examples/ts/tree-vertical.ts,tree,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-disk,treemap,Disk Usage,磁盘占用,treemap-disk.png,public/examples/ts/treemap-disk.ts,treemap,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-drill-down,treemap,ECharts Option Query,ECharts 配置项查询分布,treemap-drill-down.png,public/examples/ts/treemap-drill-down.ts,treemap,dataset.source+series.data+external file/api,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-obama,treemap,How $3.7 Trillion is Spent,3.7 万亿美元支出构成,treemap-obama.png,public/examples/ts/treemap-obama.ts,treemap,series.data+external file/api,,,3,,3,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-show-parent,treemap,Show Parent Labels,显示父层级标签,treemap-show-parent.png,public/examples/ts/treemap-show-parent.ts,treemap,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-simple,treemap,Basic Treemap,基础矩形树图,treemap-simple.png,public/examples/ts/treemap-simple.ts,treemap,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-visual,treemap,Gradient Mapping,映射为渐变色,treemap-visual.png,public/examples/ts/treemap-visual.ts,treemap,series.data+external file/api,,,3,,3,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
calendar-charts,calendar;scatter,Calendar Charts,日历图,calendar-charts.png,public/examples/ts/calendar-charts.ts,effectScatter;graph;heatmap;scatter,dataset.source+series.data+nodes+links,,,2,2,,"nodes + links/categories；节点常含 name/value/symbolSize；三元组: x, y, value（3 字段）；点坐标: x, y（可附加 value/size 等）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
circle-packing-with-d3,custom,Circle Packing with d3,基于 d3 的圆形包络图,circle-packing-with-d3.png,public/examples/ts/circle-packing-with-d3.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
custom-spiral-race,custom,Custom Spiral Race,自定义螺旋线竞速,custom-spiral-race.png,public/examples/ts/custom-spiral-race.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
matrix-mbti,matrix,MBTI Partner Compatibility,MBTI 伴侣相容性,matrix-mbti.png,public/examples/ts/matrix-mbti.ts,heatmap;scatter,series.data+map/geoJSON,,,3,3,3,"三元组: x, y, value（3 字段）；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
line-draggable,line;graphic,Draggable Points,可拖拽点,line-draggable.png,public/examples/ts/line-draggable.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
scatter-logarithmic-regression,scatter,Logarithmic Regression,对数回归（使用统计插件）,scatter-logarithmic-regression.png,public/examples/ts/scatter-logarithmic-regression.ts,line;scatter,dataset+dataset.source+series.data,,38,5,5,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
effectScatter-map,scatter,Air Quality,全国主要城市空气质量,,public/examples/ts/effectScatter-map.ts,effectScatter;scatter,series.data,,,2,,2,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
heatmap-bmap,heatmap,Heatmap on Baidu Map Extension,热力图与百度地图扩展,heatmap-bmap.png,public/examples/ts/heatmap-bmap.ts,,unknown/static option,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
heatmap-map,heatmap,Air Qulity,全国主要城市空气质量,,public/examples/ts/heatmap-map.ts,,unknown/static option,,,"3（x,y,value）",,,"三元组: x, y, value（3 字段）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
matrix-mini-bar-data-collection,matrix,Matrix Header Data Collection (Mini Bar),矩阵坐标系表头数据自动收集（以微型条形图为例）,,public/examples/ts/matrix-mini-bar-data-collection.ts,custom,dataset+dataset.source,,10,7,7,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
doc-example/aria-decal,,,,,public/examples/ts/doc-example/aria-decal.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/aria-decal-newspaper,,,,,public/examples/ts/doc-example/aria-decal-newspaper.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/aria-decal-simple,,,,,public/examples/ts/doc-example/aria-decal-simple.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/aria-pie,,,,,public/examples/ts/doc-example/aria-pie.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/axis-label-align-min-max,,,,,public/examples/ts/doc-example/axis-label-align-min-max.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/axisPointer-handle-image,,,,,public/examples/ts/doc-example/axisPointer-handle-image.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/bar-dataZoom-filterMode,,,,,public/examples/ts/doc-example/bar-dataZoom-filterMode.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/bar-large,,,,,public/examples/ts/doc-example/bar-large.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/bar-media-timeline,,,,,public/examples/ts/doc-example/bar-media-timeline.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/barGrid-barGap,,,,,public/examples/ts/doc-example/barGrid-barGap.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/candlestick-axisPointer,,,,,public/examples/ts/doc-example/candlestick-axisPointer.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/canvas-vs-svg,,,,,public/examples/ts/doc-example/canvas-vs-svg.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/canvas-vs-svg-en,,,,,public/examples/ts/doc-example/canvas-vs-svg-en.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/custom-transition-simple,,,,,public/examples/ts/doc-example/custom-transition-simple.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/data-transform-multiple-sort-bar,,,,,public/examples/ts/doc-example/data-transform-multiple-sort-bar.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/dataset-encode-simple0,,,,,public/examples/ts/doc-example/dataset-encode-simple0.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/geo-roam-indicator,,geo roam indicator demo,,,public/examples/ts/doc-example/geo-roam-indicator.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/geo-svg-label-basic,,,,,public/examples/ts/doc-example/geo-svg-label-basic.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/geo-svg-layout-basic,,,,,public/examples/ts/doc-example/geo-svg-layout-basic.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/geo-svg-named-basic,,,,,public/examples/ts/doc-example/geo-svg-named-basic.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/getting-started,,,,,public/examples/ts/doc-example/getting-started.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/graph-roam-indicator,,graph roam indicator demo,,,public/examples/ts/doc-example/graph-roam-indicator.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
doc-example/graphic-bounding,,,,,public/examples/ts/doc-example/graphic-bounding.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
